,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
OW, 23 , 32 , 13 , 9 , 66 , 27 , 49 , 61 , 97 , 34 , 94 , 89 , 42 , 37 , 26 , 15 , 9 , 12 , 17 , 10 , 16 , 7 , 3 , 19 , 24 ," 1,624 "," 1,493 ", 978 , 818 , 353 , 205 , 55 , 67 , 45 , 13 , 12 , 28 , 6 , 36 , 13 , 24 , 93 , 33 , 13 , 8 , 13 ," 6,761 ",,,,,,,,,,,,,
EM, 485 ," 1,092 ", 680 , 715 ," 1,008 ", 897 ," 1,286 "," 1,762 "," 1,622 "," 1,108 "," 1,103 ", 620 , 949 , 884 , 643 , 510 ," 1,093 "," 1,641 "," 1,106 "," 2,142 "," 1,695 ", 983 , 921 ," 1,214 "," 2,059 ", 156 , 132 , 471 , 578 ," 1,094 "," 1,769 "," 1,250 "," 1,507 "," 1,293 ", 833 , 646 ," 2,320 ", 594 ," 1,004 ", 637 , 626 , 362 ," 1,070 ", 945 , 137 , 761 ," 46,401 ",,,,,,,,,,,,,
MT, 485 ," 1,037 ", 666 , 676 , 818 , 808 ," 1,224 "," 1,500 "," 1,194 "," 1,072 "," 1,021 ", 547 , 828 , 743 , 576 , 432 , 807 ," 1,180 ", 975 ," 1,784 "," 1,403 ", 726 , 705 ," 1,075 "," 1,689 ", 151 , 147 , 177 , 546 ," 1,450 "," 2,427 "," 1,641 "," 2,497 "," 1,887 "," 1,167 ", 570 ," 1,832 ", 521 , 877 , 880 , 807 , 368 ," 1,493 ", 705 , 96 , 692 ," 44,902 ",,,,,,,,,,,,,
PL, 365 , 651 , 313 , 330 , 557 , 381 , 644 , 766 , 784 , 579 , 700 , 440 , 469 , 437 , 284 , 201 , 277 , 344 , 420 , 486 , 401 , 181 , 190 , 400 , 929 , 712 , 294 , 106 , 321 ," 1,177 "," 1,570 "," 1,035 "," 1,850 "," 1,163 ", 544 , 232 , 622 , 228 , 598 , 412 , 358 , 902 , 642 , 257 , 95 , 228 ," 24,873 ",,,,,,,,,,,,,
CC, 323 , 647 , 370 , 397 , 514 , 486 , 777 , 868 , 726 , 559 , 720 , 344 , 434 , 395 , 281 , 215 , 299 , 343 , 414 , 526 , 405 , 219 , 192 , 519 , 834 , 572 , 530 , 296 , 68 , 558 , 945 , 715 ," 1,227 ", 754 , 502 , 229 , 587 , 254 , 533 , 404 , 346 , 364 , 587 , 248 , 48 , 236 ," 21,812 ",,,,,,,,,,,,,
16, 151 , 209 , 110 , 145 , 270 , 221 , 346 , 404 , 292 , 211 , 266 , 145 , 140 , 128 , 76 , 77 , 70 , 87 , 112 , 142 , 104 , 49 , 45 , 163 , 358 ," 1,124 "," 1,525 "," 1,390 ", 621 , 26 , 196 , 308 , 578 , 270 , 138 , 63 , 166 , 73 , 182 , 124 , 123 , 167 , 254 , 65 , 18 , 49 ," 11,779 ",,,,,,,,,,,,,
24, 156 , 166 , 66 , 92 , 212 , 118 , 213 , 302 , 270 , 138 , 188 , 122 , 90 , 75 , 57 , 39 , 30 , 31 , 66 , 67 , 63 , 32 , 28 , 91 , 209 ," 1,535 "," 2,088 "," 1,850 ", 973 , 216 , 29 , 245 , 500 , 209 , 110 , 27 , 77 , 37 , 133 , 97 , 108 , 146 , 201 , 36 , 20 , 24 ," 11,586 ",,,,,,,,,,,,,
GP, 43 , 70 , 31 , 32 , 112 , 32 , 70 , 169 , 152 , 54 , 59 , 64 , 36 , 30 , 25 , 14 , 11 , 23 , 35 , 50 , 41 , 16 , 18 , 40 , 60 ," 1,116 "," 1,364 "," 1,156 ", 653 , 302 , 250 , 23 , 116 , 57 , 54 , 18 , 65 , 15 , 63 , 37 , 54 , 94 , 125 , 24 , 13 , 11 ," 6,901 ",,,,,,,,,,,,,
BP, 63 , 79 , 28 , 29 , 87 , 36 , 74 , 111 , 152 , 76 , 73 , 60 , 59 , 42 , 30 , 22 , 18 , 28 , 45 , 37 , 35 , 9 , 15 , 42 , 71 ," 1,287 "," 1,702 "," 2,129 "," 1,083 ", 520 , 479 , 117 , 39 , 85 , 74 , 20 , 63 , 20 , 76 , 67 , 90 , 99 , 141 , 21 , 6 , 12 ," 9,449 ",,,,,,,,,,,,,
DC, 69 , 123 , 41 , 33 , 95 , 42 , 81 , 137 , 182 , 93 , 93 , 109 , 83 , 63 , 43 , 33 , 42 , 46 , 76 , 59 , 58 , 15 , 16 , 30 , 58 ," 1,229 "," 1,665 "," 1,285 ", 729 , 281 , 232 , 57 , 102 , 23 , 39 , 28 , 91 , 42 , 109 , 63 , 102 , 182 , 241 , 37 , 13 , 24 ," 8,297 ",,,,,,,,,,,,,
